t,trades,traded_kwh,posted_buy_kwh,posted_sell_kwh,unserved_kwh,curtailment_kwh,price_mean,price_var,W,W_bound,W_hat
0,0,0.000000,30.804424,0.000000,30.804424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0,0.000000,30.804719,0.000000,30.804719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0,0.000000,30.805083,0.000000,30.805083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0,0.000000,30.805530,0.000000,30.805530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0,0.000000,30.806079,0.000000,30.806079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0,0.000000,30.806750,0.000000,30.806750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0,0.000000,30.807569,0.000000,30.807569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0,0.000000,30.808567,0.000000,30.808567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0,0.000000,30.809779,0.000000,30.809779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0,0.000000,30.811248,0.000000,30.811248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0,0.000000,30.813023,0.000000,30.813023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0,0.000000,30.815165,0.000000,30.815165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0,0.000000,30.817740,0.000000,30.817740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0,0.000000,30.820831,0.000000,30.820831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0,0.000000,30.824530,0.000000,30.824530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0,0.000000,30.828948,0.000000,30.828948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0,0.000000,30.834209,0.000000,30.834209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0,0.000000,30.840461,0.000000,30.840461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0,0.000000,30.847868,0.000000,30.847868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0,0.000000,30.856627,0.000000,30.856627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0,0.000000,30.866958,0.000000,30.866958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0,0.000000,30.879108,0.000000,30.879108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0,0.000000,30.893360,0.000000,30.893360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0,0.000000,30.910046,0.000000,30.910046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0,0.000000,30.929526,0.000000,30.929526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0,0.000000,30.952211,0.000000,30.952211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0,0.000000,30.978557,0.000000,30.978557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0,0.000000,31.009085,0.000000,31.009085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0,0.000000,31.044364,0.000000,31.044364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0,0.000000,31.085033,0.000000,31.085033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0,0.000000,31.131779,0.000000,31.131779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0,0.000000,31.185400,0.000000,31.185400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0,0.000000,31.246714,0.000000,31.246714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0,0.000000,31.316655,0.000000,31.316655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0,0.000000,31.396268,0.000000,31.396268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0,0.000000,31.486577,0.000000,31.486577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0,0.000000,31.588793,0.000000,31.588793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0,0.000000,31.704265,0.000000,31.704265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0,0.000000,31.834233,0.000000,31.834233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0,0.000000,31.980083,0.000000,31.980083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0,0.000000,32.143484,0.000000,32.143484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
